Name,MarketCap,Watchlist
Altbase,"$1,915,118","3,787"
Metabolic,- -,394
Bitcoin File,- -,"2,236"
pTokens BTC,- -,"1,153"
Crypto Carbon Energy,"$3,567,851",461
ARTH [polygon],"$884,181",737
Brewlabs,- -,"3,021"
AvaxDAO,"$22,589",19
Boss Token,"$2,028,902","5,862"
Microzillas,"$484,221",430
Vmates,- -,326
HelpSeed,- -,502
Tigerfinance,- -,"1,554"
Yaki Gold,- -,"2,495"
Sunflower Farm,- -,"7,378"
Crypto Excellence,- -,315
Orakuru,"$280,082","12,121"
Nami Inu,- -,"3,809"
HUPAYX,"$130,681,653",390
SpritzMoon Crypto Token,"$256,827,365",45
Caesar Finance,"$234,259",113
NanTrade,- -,264
ShibaWallet,- -,"2,753"
NVIDIA tokenized stock FTX,- -,"1,652"
GameStation,- -,"5,174"
Starname,"$4,128,488","2,368"
BunnyPark Game,"$16,939","1,323"
Aelin,- -,67
Warriors Land Fuel,- -,81
Meta Reserve Finance,"$166,460",910
CircleSwap,- -,"1,386"
MilkshakeSwap,"$1,773,674",293
Nezuko Inu,- -,"3,058"
United Bitcoin,- -,"1,008"
DAR,- -,"1,598"
GYSR,"$1,188,862","1,188"
Mirrored Square,- -,49
Rivex,- -,"1,416"
Passive Income,- -,"4,807"
xNFT Protocol,- -,835
Doge Protocol,"$6,483,091",184
Koreadoge,- -,"1,655"
Carrot,- -,"1,224"
PolkaPets,- -,"2,580"
Plutos Network,- -,"2,139"
Elastic BNB,- -,"7,583"
NFTshootout,- -,"1,200"
Gold Zilla,"$7,612",677
Digible,- -,852
Chintai,"$40,218,556",950
MONNFTS,- -,"1,044"
LOT.TRADE,- -,"1,137"
GrimaceCoinErc.com,- -,"1,106"
ZURRENCY,- -,321
CryptoHorse,"$11,355,963",660
Treasure,"$6,029","2,418"
Xrpalike Gene,"$21,601,787",594
TECHNOLOGY INNOVATION PROJECT,- -,604
GroupDao,"$1,625,719",910
ZooCoin,- -,"3,057"
DeCredit,- -,441
Viking Swap,- -,"4,366"
Unknown Fair Object,- -,782
Peoplez,"$56,393","1,700"
Jacy,"$11,765,012","4,521"
Pintu Token,"$13,185,902","2,575"
CryptoSaga,- -,347
moonwolf.io,"$262,675","3,325"
MegaCryptoPolis,- -,"2,745"
Genesis Mana,- -,"1,204"
Shibtama,- -,"1,412"
ZilSwap,- -,"1,749"
Squidverse 3D,- -,221
Feeder.finance,"$4,285,590","1,848"
SafeMars,- -,"18,659"
dForce USD,- -,284
ChinaOM,- -,364
BEUROP,- -,"4,849"
Hypersign identity,"$80,115","6,075"
Meta Rewards Token,"$85,915","5,362"
BABYDRIP,"$687,887","1,246"
BlockSwap Network,- -,"105,315"
Dark Matter DeFi,- -,531
Voice Street,"$2,449,831",680
Medican Coin,- -,499
3X Long Altcoin Index Token,- -,842
Eroverse,"$1,722,137","2,878"
CrypterToken,- -,"11,445"
Transient,"$2,122,243","2,539"
Chickenkebab Finance,- -,"1,192"
HaggleX,- -,895
Totoro Inu,- -,"6,585"
Louverture,- -,"6,488"
Fantom Oasis,- -,565
Artex,"$292,045","3,288"
3X Long Shitcoin Index Token,- -,849
Shiba Inu Pay,- -,"2,414"
Dig Chain,"$4,155,388",435
Monsoon Finance,"$28,760","454,954"
pETH18C,- -,376
Cream ETH 2,- -,653
Wrapped Celo,- -,410
Kingdom Coin,"$2,778,220",285
DoveSwap Finance,- -,"1,553"
WFAIR,- -,"1,119"
PUML Better Health,- -,"2,132"
Netflix tokenized stock FTX,- -,437
Universal Basic Income,- -,"3,856"
Worthpad,"$242,200",487
mKitty,- -,168
GSENetwork,- -,893
PayBolt,"$42,678,450","2,322"
Coral Swap,- -,613
Interfinex,- -,"1,394"
Smashchain,- -,166
Themis,- -,"1,939"
HornHub finance,"$2,230,143",812
En-Tan-Mo,- -,"2,051"
GinSpirit,- -,172
The Three Kingdoms,"$1,432,800","4,148"
Dapp Token,- -,"5,277"
Aerochain,- -,281
X-Block,- -,991
CakeSwap,"$910,765","1,037"
Chopper Inu,- -,"4,238"
Coinary Token,"$1,193,415","47,353"
KittenFinance,- -,"1,072"
Spantale,"$34,374,966",250
Bulldogswap,- -,"10,665"
Giveth,"$3,504,543",97
Fortune,- -,831
Relay Token,- -,"2,108"
Travel Care,"$1,060,421","8,956"
ForeverBlast,"$113,904","11,709"
Honey Deluxe Token,"$182,383",306
Marinade,"$2,879,660",935
Ruyi,- -,"1,371"
EurocoinToken,"$1,020,847",812
RIFI United,"$303,462",929
ACryptoSI,"$2,025,241",526
YAS,- -,"2,351"
PIGX,- -,702
JOJO,- -,"2,885,393"
Jubi Token,- -,773
Baby Moon Floki,- -,"18,116"
Corgidoge,- -,"275,339"
GARD Governance Token,- -,874
Monster,"$1,155,831",603
PanicSwap,- -,175
Lydia Finance,"$470,268","5,978"
DEI,"$7,629,587,707",154
Swampy,- -,"2,952"
Retire Token,"$388,262","10,482"
Oxbull Solana,"$5,564,689","8,236"
vBSWAP,- -,"1,107"
DAOhaus,- -,865
ProjectOasis,"$985,358","5,070"
DIAMOND,"$75,921",267
Rowan Token,- -,"1,646"
Loop Finance,- -,"2,547"
1irstGold,"$5,675,886",361
Smile Coin,"$4,065,223","1,876"
eFIN,- -,202
Greenheart CBD,- -,"1,414"
GoodDollar,- -,"2,998"
UNQclub,"$690,956","1,369"
CAPITAL X CELL,- -,"7,017"
Charm,- -,"1,296"
Flux Protocol,- -,"146,560"
Footie Plus,- -,641
Doxxed,- -,905
PolkaCipher,"$300,425","3,885"
Minereum BSC,"$33,173","11,370"
MoonEdge,- -,"160,921"
Aloha,"$863,988","1,095"
Beyond Meat tokenized stock FTX,- -,287
Wrapped PKT,"$1,037,981",932
SOCIETY OF GALACTIC EXPLORATION,- -,"8,433"
Krypto Pets,- -,939
The Troller Coin,"$762,378","5,416"
Alephium,"$15,630,623","15,084"
MicroStrategy tokenized stock FTX,- -,"1,434"
NFTBomb,- -,689
EVERY GAME,"$4,205,509","1,652"
FTMlaunch,"$321,329",968
Green Chart,"$972,073","5,391"
MobiFi,"$448,725","2,217"
Health Potion,- -,533
INLOCK,- -,636
BABY TETHER,"$81,081","1,002"
FirstDoge,- -,"1,166"
Dogewhale,- -,345
Crystal Powder,"$271,981",435
CPLAY Network,"$2,526,219","11,427"
Doge-1 Mission to the moon,"$498,784",776
DaVinci Token,"$1,101,387",664
Rentible,- -,"1,835"
HakunaMatata (new),"$1,875,320","2,823"
Farmland Protocol,"$849,926",810
SportsIcon,"$198,667","1,172"
Shib Generating,"$409,619","1,024"
Google tokenized stock FTX,- -,536
Sriracha Inu,- -,"1,647"
Snap Token,"$936,904","4,828"
MvPad,"$91,354","10,846"
AAG Ventures,- -,"1,868"
Global Game Coin,"$33,272,638",634
LandOrc,- -,348
JD Coin,- -,"1,038"
LetsGoBrandonToken,- -,"7,069"
Uplift,"$1,231,163","2,217"
Shikage,- -,887
MoneydefiSwap,- -,"2,688"
Decentralized Nations,- -,509
Wen Lambo,- -,376
Multiverse Capital,"$7,559,889","58,161"
TruBadger,- -,"4,734"
Totem,- -,"1,439"
Nitro League,"$1,538,598","1,392"
Lever Token,"$156,991","1,680"
Leonicorn Swap ( LEON ),"$1,129,218","1,327"
RunNode,"$1,437,177","1,859"
LOL,- -,835
Single Finance,"$20,311,450","3,490"
PuddingSwap,"$92,458",324
Supersonic Finance,- -,"7,016"
Paralink Network,"$2,251,829","6,106"
Kitsumon,"$2,878,453","1,234"
IceCream Shares,"$33,523",483
Decubate,"$2,051,088","2,321"
Square tokenized stock FTX,- -,578
AutoShark,- -,"2,390"
Hope,- -,"6,596"
MoonRock,"$8,351,104","2,691"
HTMOON,- -,"1,239"
Bitcoin Classic,"$8,006,287","1,091"
MonsterQuest,"$27,738",770
Metakings,- -,"38,390"
Pippi Finance,- -,857
Market Ledger,"$1,814,960","10,277"
Floki Shiba,- -,"33,288"
Son of Doge V2,- -,"4,004"
Mononoke Inu,- -,"24,322"
TrustBase,- -,782
Moon Light Night,"$104,588",227
MOR,"$4,005,929",710
Wanda Exchange,- -,"6,158"
Boryoku Dragonz,- -,349
Golden Roots,- -,997
Konstellation Network,$8,233
Mech Master,"$373,687","10,024"
MyRichFarm,"$34,465,320",671
Fertilizer,- -,677
Nosana,"$3,150,079","5,637"
Pokmonsters,"$265,737","2,076"
Kodi Coin,- -,"1,008"
TomTomCoin,"$4,434,361",232
Revest Finance,"$6,419,310","1,447"
Dentrocoin,"$198,658","1,527"
Wallet Pay,- -,"2,536"
RougeCoin,- -,"3,763"
La Doge de Papel,- -,926
Zada,"$3,685,648","4,278"
AutoShark DEX,- -,"1,281"
Doxed,"$1,029,677","11,820"
CluCoin,"$6,053,989","14,837"
DeathRoad,- -,"7,372"
Croking,"$1,249,084","9,637"
Cure Token,"$6,285,211","3,419"
BleuFi,"$4,657,908","1,825"
HappyLand Reward,$0,245
LINKS Token,"$1,571,176",288
Akita Inu,"$4,354,178","1,336"
Uzumaki Inu,- -,"2,976"
SaylorMoon,- -,"12,462"
FarmerDoge V3,- -,"12,407"
Propel,"$1,013,566",530
Kabosu,- -,"35,542"
BITCOLOJIX,"$79,933,971","1,279"
ok.lets.go.,"$2,240,625","1,688"
Feisty Doge NFT,- -,"1,740"
Blind Boxes,- -,"4,508"
DEUS Finance,- -,418
ELONBALLS,- -,"23,987"
Mogu,- -,807
BaconDAO,- -,805
Pika,"$2,141,663","18,826"
Cerby Token,"$10,666,589","20,930"
Nyan Finance,- -,"1,202"
Daddy Doge,- -,"25,940"
Secured MoonRat Token,"$1,497,205","23,133"
UniversalEnergyChain,- -,285
KingSpeed,"$369,758","1,945"
Attack Wagon,- -,"3,759"
SurfMoon,"$308,854","14,562"
Keysians Network,- -,"1,008"
YetiSwap,"$671,701","4,344"
Culture Ticket Chain,- -,769
X-Consoles,"$861,405",228
ARK Innovation ETF tokenized stock FTX,- -,510
Tesla tokenized stock Bittrex,- -,"1,158"
Pi INU,"$3,835,619","7,227"
battle esports coin,"$4,812,780","11,597"
XQuake,"$532,731",532
Silver Coin,"$81,616",94
Green Beli,"$382,546","6,249"
MerchDAO,- -,"1,347"
Safle,- -,"2,619"
StorX Network,- -,"3,416"
Orbit Token,"$220,788","4,239"
Worthwhile,- -,188
Exchange Union,- -,648
SafeLaunch,- -,"140,790"
Encrypter,"$60,584","2,882"
Satopay Network,- -,"3,791"
Poodl Token,"$2,079,463","14,550"
Beast NFT Token,"$14,988,646",445
LemoChain,- -,"1,308"
Billionaire Plus,"$218,455","1,089"
NOSHIT,"$3,627,192","47,537"
Hermes Shares,- -,434
Snowbank,- -,"7,539"
Opennity,- -,805
Son of Shib,- -,"5,600"
Sunny Side up,"$393,439",136
Orakler,- -,"4,819"
DeuxPad,- -,661
More Token,"$716,234",373
impactMarket,- -,750
AtomPad,"$829,266","1,333"
MetaDrace,"$2,264,502","1,618"
Rikkei Finance,- -,"2,753"
Citrus,"$33,293,352","3,315"
Schrodinger,"$2,110,921","1,539"
CoinWind,- -,"371,642"
ShibaNova,- -,"5,112"
Nintia Estate,"$267,032","1,802"
BlackDragon,- -,931
Marginswap,"$1,063,430","1,639"
CronaSwap,"$7,170,867","4,246"
Baby WOJ,- -,995
Marnotaur,- -,"141,621"
Solvent,"$1,168,773","1,309"
Sake,- -,466
Embr,"$1,059,819",712
DeFinity,- -,"1,445"
Dungeonswap,- -,"6,452"
Amazon tokenized stock FTX,- -,881
TasteNFT,"$2,292,453","17,977"
Asia Pacific Electronic Coin,- -,"2,601"
KickPad,- -,"7,750"
StakHolders,- -,603
MetaRacers,"$77,399","5,178"
BitoPro Exchange Token,- -,884
Yucreat,- -,"9,899"
BOY X HIGHSPEED,"$16,994,497","118,578"
Mainston,"$1,342,472",208
Atlo,"$953,594",540
Fortress,"$2,045,434","3,155"
Tarality,"$383,988,794,318","11,376"
BerylBit,"$878,539","2,004"
Meta Spatial,"$578,095","692,901"
Yup,- -,932
PlaceWar,"$8,372,033",521
Mrs Cheems,"$182,659",241
Credmark,"$5,489,993",389
Bitcoin Asia,- -,"1,602"
SafeBitcoin,"$1,181,408","40,084"
LEOPARD,- -,"15,907"
Metablackout,"$811,462","1,536"
Aldrin,"$11,461,325","4,453"
BlockStream Mining Notes,- -,151
Basis Dollar,- -,884
LeagueDAO,"$4,561,275",223
Structure finance,"$287,691",668
EcchiCoin,"$1,089,606",941
Pocoland,- -,"3,104"
xUSD Token,- -,309
Coinscope,- -,"3,122"
DarkShield Games Studio,"$107,824","1,363"
Max Revive,"$285,191",269
Digital Swiss Franc,- -,"51,780"
ElonTech,- -,"552,143"
Medium,- -,729
SubGame,- -,"1,324"
BSC Gold,- -,"3,637"
SoccerHub,- -,"419,823"
Sriracha Inu,- -,"1,647"
Mithril Share,- -,760
Empire Capital Token,"$3,165,215","2,730"
OptionPanda,- -,"1,074"
JINDO INU,"$427,400","21,787"
Natural Farm Union Protocol,- -,526
Zomfi,"$143,625","20,294"
Mogu,- -,807
SappChat,- -,558
Friends With Benefits Pro,- -,"2,131"
DBQuest,"$212,943",292
Secured MoonRat Token,"$1,497,205","23,133"
DaVinci Token,"$1,101,387",664
MiamiCoin,- -,"8,419"
MatrixETF,- -,"1,495"
Kanpeki,"$6,000,154",389
Derived,"$93,967",911
Hive Dollar,- -,"1,067"
Blizz Finance,- -,"1,975"
Flourishing AI,- -,"90,585"
Mindsync,- -,"3,446"
SurfMoon,"$308,854","14,562"
HeroVerse,"$287,666","5,142"
ALYATTES,"$940,095",496
Rise of Defenders,"$9,256,568","5,301"
Keep3r BSC Network,- -,"2,213"
Scarab Finance,- -,474
Monster of God,"$2,097,813","3,461"
SportsIcon,"$198,667","1,172"
Vires Finance,"$17,738,643","1,270"
GamingShiba,"$4,131,760","38,112"
DUKE INU TOKEN,- -,"3,018"
IVOGEL,- -,"1,327"
Dexigas,- -,"2,745"
Witnet,"$28,898,573","1,687"
SkyLands,- -,811
WanSwap,"$2,473,324","2,645"
Transhuman Coin,- -,"19,189"
SHKOOBY INU,"$16,292,118","7,919"
ViteX Coin,- -,"1,252"
ASHARE,- -,172
Dogira,"$4,779,317","1,588"
wanUSDC,- -,246
Upfire,"$1,524,805","1,849"
Magic Beasties,"$493,371","14,048"
Rematic,- -,"2,304"
LovePot Token,- -,"6,136"
MOVE Network,- -,517
Dollo Coin,"$5,159,823",271
GN,"$1,140,314","1,108"
Cryptogram,- -,"19,253"
Mirrored Google,- -,620
Wild Credit,- -,"1,748"
FrogSwap,- -,311
BLOCKMAX,- -,698
Invitoken,- -,155
Lockness,- -,"2,724"
GameX,"$338,945","18,379"
Phantom Protocol,- -,"2,317"
StarLink,- -,"3,702"
Magik Finance,"$119,064",171
Goku,- -,"6,354"
Tokenfy,- -,922
Dx,"$5,079,679","3,331"
Sekuritance,- -,934
Lum Network,- -,904
Mirrored Galaxy Digital Holdings Ltd,- -,77
DAO Invest,"$80,424,655","1,422"
WOLVERINU,- -,"22,430"
InfinityPad,"$1,651,097","2,656"
EXIP,"$34,404,251","1,464"
Ramifi Protocol,- -,"1,657"
Thorus,- -,883
Matrix Token,"$2,641,520",208
dFuture,"$276,195","1,508"
Busy DAO,"$314,807","1,704"
Medicalveda,- -,"1,113"
PayNet Coin,"$53,474,481",379
Moonfarm Finance,"$84,608",884
DesireNFT,- -,883
Multiverse,"$1,027,799","2,817"
The Luxury Coin,"$106,391,583",714
D3 Protocol,"$1,082,937",344
ESPLASH,"$102,678","2,665"
Helkin,- -,"1,072"
Black Phoenix,"$446,105","11,386"
WoopMoney,"$50,071",838
CORN,- -,"1,229"
XDoge Network,- -,705
Qubit,"$462,744","907,245"
ArcadeNetwork,"$282,150","10,273"
Doom Hero Dao,- -,196
AggregatedFinance,- -,"1,908"
SHUMO,- -,"1,455"
AnpanSwap,"$394,830",387
Umbria Network,- -,608
Y-5 FINANCE,- -,"2,160"
Global Digital Content,- -,"1,118"
MODA DAO,"$1,733,008","1,192"
3X Long Tether Gold Token,- -,337
Arena Token,- -,"5,411"
Proxy,"$1,467,694","3,684"
Pilot,- -,871
1X Short XRP Token,- -,166
KittyCake,"$199,040","11,958"
Voxel X Network,- -,"4,619"
Taxa Token,- -,490
PinkSale,- -,"1,039"
SCARDust,- -,"1,076"
Viva Classic,"$3,951,409","2,015"
MELI,- -,"1,424"
CrossFi,- -,983
Blockasset,"$3,432,353","2,643"
DoragonLand,- -,"4,967"
UnderMineGold,- -,"2,230"
GovWorld,- -,"2,843"
Mirrored Bitcoin,- -,121
Adene,- -,335
BlackPearl Token,- -,"2,346"
UniFi Protocol,- -,"1,010"
India Coin,"$1,432,621","6,881"
Metaverse VR,"$4,336,366","8,323"
SPDR S&P 500 ETF tokenized stock FTX,- -,638
BITGATTI,- -,"6,430"
MooMonster,- -,"6,145"
Nahmii,"$78,535,172","5,470"
CMC Coin,"$2,801,570","1,157"
Joys Digital,- -,379
Hodl Finance,"$5,530,320","2,701"
Piggy Finance,"$7,437",858
MiniTesla,"$166,512","19,167"
Hero Arena,"$322,683","659,297"
X Protocol,- -,"3,730"
MEDPING,- -,431
UNIFEES,"$252,396",324
KRED,"$456,707",684
SmartX,$0,672
Luniverse,- -,"6,478"
ELEF  WORLD,"$1,235,942","6,846"
ELONGATE,"$13,449,826","93,266"
Degree Crypto Token,"$146,769,182",242
ETHEKing,- -,"6,549"
Asia Coin,- -,797
Instrumental Finance,"$2,170,987",414
Mobius Finance,"$469,193","371,484"
WPP TOKEN,"$18,530,648","2,304"
Dreamverse,"$1,331,422",411
Affinity,"$8,761,710","5,218"
GINZA NETWORK,"$3,084,576",843
VinDax Coin,- -,766
ApeFund,- -,"4,091"
FastSwap,$996,"3,510"
Morphie Network,"$40,525","4,439"
Optimus,"$2,183,403",543
LPI DAO,- -,"5,688"
Savage,"$919,872",994
Perpetuum,"$41,726,206","3,629"
Lenda,"$4,162,227","1,006"
Rewardeum,- -,"12,487"
Bancor Governance Token,- -,616
ROI Token,"$10,789,312","1,799"
Instadapp,"$24,099,497","5,125"
ReFork,"$3,551,133",373
Defactor,"$1,377,066",806
Metagame Arena,- -,"1,288"
Etherlite,- -,"2,290"
YIN Finance,"$1,631,306","1,330"
HFUEL LAUNCHPAD,"$4,977,118",325
IRON Titanium Token,"$5,294,835","10,597"
Polylastic,"$1,762,457","12,355"
TOM Finance,- -,452
GangstaBet,- -,179
SHIBA2K22,- -,"13,966"
Mr.FOX TOKEN,- -,164
Nasa Doge,"$9,115,020","2,591"
Gbrick,- -,522
Charli3,- -,"18,875"
BabyDoge ETH,"$7,553,461","7,489"
Loon Network,- -,894
UniDex,"$2,638,374","1,120"
BitcoMine Token,"$374,206","38,160"
0x_nodes,- -,939
DeepSpace Token,"$3,557,882","9,717"
Dacxi,"$17,714,534","13,424"
Shib Army,"$1,338,244","28,094"
Flokimooni,"$4,053,585","34,008"
CAT,- -,"1,042"
Banana.finance,- -,"2,271"
GeroWallet,- -,"16,938"
Pledge,- -,"427,383"
HODL,"$4,169,405","28,571"
CocktailBar,- -,"1,709"
Feyorra,- -,"3,285"
Compound Basic Attention Token,- -,805
Super Whale DAO,"$524,399","25,111"
Mad Viking Games,"$21,251,407","1,016"
ixirswap,"$1,627,351","1,157"
ProSwap,- -,"1,087"
Shiba Girlfriend,- -,"3,192"
Tiger Token,"$1,068,373","1,222"
Crypto Bank,"$195,849,025",826
Robo Inu Finance,"$38,620,807","2,928"
Chinu,- -,98
Lobis,- -,486
Coinbase tokenized stock FTX,- -,"3,168"
LUXY,"$1,006,411",714
FQSwap,"$5,996,921",261
Koinos,"$43,697,837","4,601"
Copycat Finance,- -,"2,604"
Alpha5,- -,"1,028"
LavaSwap,- -,"2,879"
PL^Gnet,"$13,755,316","1,557"
BoleToken,- -,"1,597"
B20,- -,"2,898"
Idle Cyber,- -,"4,196"
BambooDeFi,- -,"2,175"
TrustNFT,- -,382
PlayPad,"$1,135,042","4,455"
MoonBear.finance,"$231,594","6,610"
TNNS,"$11,267,774",35
NIL Coin,"$11,650,307","3,513"
G999,- -,"4,838"
Mission Helios,- -,"3,350"
Dash Diamond,"$24,364,952",700
DefiDollar DAO,- -,"1,620"
Flashloans.com,"$276,168","6,943"
Bogged Finance,"$9,925,264","9,398"
SideKick Token,"$14,560,808",237
NerveFlux,"$128,870",457
NFTBooks,- -,"23,033"
CryptoWar xBlade,"$1,826,187","6,225"
Moonscape,"$1,833,908","5,823"
TryHards,"$2,153,291","10,453"
HNK Orijent 1919,"$251,469",813
Oobit,- -,428
Rebasing Liquidity,- -,509
Secret (ERC20),- -,"1,217"
Gamerse,"$669,805","171,124"
MetaFinance,"$44,481,944","11,694"
AquaGoat.Finance,- -,"13,245"
Fibswap DEx,"$7,749,244","12,009"
Coolmining cooha,"$9,849,220",70
CryptoBlades Kingdoms,"$281,992","6,727"
WGMI,- -,"1,782"
3X Short Ethereum Token,- -,"3,027"
Anomus,- -,"1,477"
Mirrored Nio,- -,94
Hanzo,"$1,118","6,929"
Steam Exchange,- -,"36,117"
OneRing,"$2,676,625",884
KAINET,"$3,468,872","1,500"
PayPal tokenized stock FTX,- -,"1,281"
Deku Inu,- -,"25,687"
KICK.IO,"$4,287,241","1,902"
WidiLand,"$924,279","7,559"
GameStop tokenized stock FTX,- -,"2,120"
Creator Platform,"$1,306,589","634,863"
Torekko (NEW),- -,168
Synapse Network,"$7,502,337","31,166"
Solster Finance,- -,"2,907"
Glow Token,- -,438
Laqira Protocol,"$303,489,585","6,442"
Kaiba DeFi,- -,"1,739"
QURAS,- -,668
Nova finance,- -,623
Food Farmer Finance,- -,607
DragonSea,- -,"7,248"
SpiderDAO,- -,"4,644"
Lemond,- -,"1,543"
DogeFather,"$2,135,055",773
MMM7,"$204,415,553",322
Rake Finance,- -,632
Flag Network,"$78,687,996","5,847"
AnchorSwap,"$7,295,805","2,696"
Shibrobi,"$8,740,071",584
Filecoin Standard Hashrate Token,"$3,542,251",333
GreenTek,- -,343
Thetan Coin,- -,"47,392"
KuSwap,- -,"2,148"
Bedrock,"$3,990,636",137
Solar,"$3,071,827","3,340"
Squirt Game,"$339,864","2,377"
Ninja Protocol,- -,823
KaraStar,- -,636
FanVerse,- -,"1,027"
DogeSwap,- -,533
Atlantis Metaverse,- -,"6,374"
CyOp Protocol,- -,"1,086"
Cloudbric,- -,"1,982"
Game Coin,"$80,350,332",744
IDK,- -,784
Cub Finance,- -,680
Charged Particles,- -,"3,887"
BSC TOOLS,- -,"1,986"
Vagabond,- -,"2,669"
TEN Wallet,"$569,228",222
JK Coin,"$3,435,434","1,314"
BundlesBets,- -,"1,351"
KILLTHEZERO,"$1,609,561","2,972"
Hanu Yokia,- -,"1,327"
Baby Tiger King,- -,"9,350"
Shintama,- -,"4,656"
Merkle Network,- -,"2,059"
MarsColony,"$147,500",853
Ubeswap,- -,"3,687"
One Share,- -,795
Influencer,"$114,247",399
Kalamint,- -,310
LockTrip,"$25,504,495","3,159"
Perion,"$2,089,619",633
Snowtomb LOT,- -,"1,033"
Bankless DAO,"$9,732,264","2,650"
Community Vote Power,"$910,617",310
Sandwich Network,"$10,934,430","13,812"
iOWN Token,- -,"1,877"
Gyro,- -,"5,144"
Wrapped DucatusX,"$1,678,414",326
Starcoin,"$27,184,117",827
LuxeRacing,"$787,710","20,478"
JumpToken,"$2,265,351","2,422"
Edufex,- -,887
Jetfuel Finance,"$4,078,625","1,298"
Solarmine,- -,"1,284"
DoubleDice,"$1,453,653","10,502"
GamesPad,- -,"3,812,420"
BLOCKS,- -,881
Coinerr,"$13,386,678","4,768"
Compound 0x,- -,653
Nolian Credits,"$33,939",351
Kyber Network Crystal Legacy,"$377,744,321","46,234"
Tr3zor,"$1,304,494","2,512"
Monster Galaxy,- -,"4,211"
TabTrader Token,"$1,409,154","1,850"
DAOLaunch,"$1,077,475","2,712"
SYA x Flooz,"$14,942,705","99,594"
Umami Finance,- -,680
Treecle,"$174,582",559
pBTC35A,- -,476
VidyX,- -,"2,731"
Starpunk,"$2,088,381","4,458"
GOAL token,"$119,543,798",312
Puriever,- -,549
Musk Metaverse,"$1,115,569,671","21,643"
Wanaka Farm,"$3,203,521","30,492"
Dinger Token,- -,"8,858"
Starmon Metaverse,- -,"18,394"
Grape Finance,- -,960
CoinRadr,"$636,460","3,829"
Vulkania,"$2,303,672","2,869"
WorldPlus,- -,403
Compound Uni,- -,589
Yuan Chain Coin,- -,"4,683"
DeHero,- -,"884,505"
SwapAll,- -,503
Zagent,"$680,850","1,421"
Pylon Protocol,"$22,508,563","5,842"
WIZARD,- -,"14,631"
Airbloc,- -,"1,274"
Liquid Collectibles,- -,"1,231"
Baby Lovely Inu,"$378,297","13,524"
Shabu Shabu Finance,"$41,620,449","4,157"
Topshelf Finance,- -,221
Anji,"$1,687,839","16,663"
METALUNA,"$143,243",212
iBG Finance,- -,200
Swapz,- -,"243,904"
Bankers Dream,- -,890
ALL.ART protocol,- -,"2,513"
Connect Financial,- -,907
SaunaFinance Token,- -,283
BlockNoteX,- -,298
Mars Inu,"$190,376","6,815"
Jenny Metaverse DAO Token,"$6,351,850","1,898"
DeFi Warrior (FIWA),- -,"593,897"
TBCC,- -,769
YAM V2,"$18,086,700","1,822"
Idexo Token,"$1,492,091",729
Myōbu,- -,"6,098"
Ridotto,"$5,928,882","8,096"
HeroPark,- -,"1,083"
Geckolands,"$42,470,679",494
NFT Starter,- -,"6,418"
Sanshu Inu,"$4,259,409","34,223"
Ndau,- -,"1,461"
JEDSTAR,"$6,521,640","45,223"
ArchAngel Token,"$7,229,285","4,549"
BT.Finance,- -,"1,407"
Mandala Exchange Token,"$16,575,175","8,553"
THIS,- -,86
USD Open Dollar,"$24,442,224",180
XTblock,"$5,811,295","2,725"
OnX Finance,- -,"2,988"
UNIMOON,- -,"11,128"
Ojamu,"$5,404,492","6,186"
WiseAvax,- -,381
SpookyShiba,"$3,185,529","30,700"
LaunchX,- -,"3,434"
Trillium,"$9,878,697","1,126"
EtherSmart,- -,936
Million,"$6,728,312","9,533"
xDAI,- -,"1,587"
Spellfire,"$2,194,389","1,519"
Akropolis Delphi,- -,"1,375"
Bribe Protocol,"$1,589,916",225
Phoenix Global [old],"$8,673,229","14,026"
Universal Floki Coin,"$1,431,669","5,344"
MUSO Finance,- -,736
MacaronSwap,- -,"3,763"
KelVPN,- -,"1,414"
HIDEOUS,"$6,177,875","1,388"
Gold Nugget,"$122,387",902
Mango Finance,- -,"1,292"
Alpha Coin,"$701,754",241
MCS Token,- -,387
NFTSwaps,- -,"2,528"
Elongrab (NEW),- -,127
CarsAutoFinance,"$2,644,939","1,907"
Cyclops Treasure,- -,401
Mystic Warrior,- -,"9,036"
Elon's Marvin,"$306,923","3,283"
Electric Cash,"$4,366,663","1,688"
CARBON,- -,680
Poseidon Token,- -,584
Dogeon,- -,"1,476"
Everyonescrypto,"$281,619",383
CryptoJetski,- -,729
SafuFide,"$10,714,047",265
Retromoon,- -,"1,351"
Litherium,- -,"4,744"
Keisuke Inu,- -,"4,983"
Moon Stop,- -,"4,813"
BecoSwap Token,- -,276
iNFT Platform,- -,647
MyTVchain [New],- -,96
xDeFi,- -,"1,749"
Libonomy,- -,439
VesTallyToken,"$343,916","3,248"
Synex Coin,- -,"2,757"
Capital DAO Protocol,- -,"1,088"
Scope,- -,478
Afrostar,- -,"26,035"
Augmented Finance,"$949,360",284
KVerse Society,"$67,376","4,317"
Moonbird,- -,394
Fox Finance,- -,"40,124"
HIPPO TOKEN,- -,"31,715"
MicroPee,"$72,443","26,012"
Warrior Token,- -,"3,682"
DEONEX COIN,"$1,600,947",603
Xbullion,"$1,929,058",195
TheFutbolCoin,"$11,874,374","2,029"
Hamdan Coin,- -,378
Mover,"$3,274,819","1,148"
ZilStream,"$331,249",285
Green Shiba Inu (new),"$12,867,890","21,253"
